RF-CAT,SEXO,IDA-MÉD,TC,NC,TO,ME,TURNO,ANO,AE
ND,M,27.0,TÉC,TA,SUB,P,NOT,2017,1
ND,M,27.0,TÉC,TA,SUB,P,NOT,2017,1
ND,M,27.0,TÉC,TA,SUB,P,NOT,2017,1
ND,M,27.0,TÉC,TA,SUB,P,NOT,2017,1
ND,M,32.0,TÉC,SJ,SUB,P,VES,2017,1
ND,M,32.0,TÉC,TI,SUB,P,VES,2017,0
ND,M,32.0,TÉC,TI,SUB,P,VES,2017,0
ND,M,32.0,TÉC,TI,SUB,P,VES,2017,0
ND,M,37.0,TÉC,SJ,SUB,P,VES,2017,1
ND,M,37.0,TÉC,TA,SUB,P,NOT,2017,0
ND,M,37.0,TÉC,TA,SUB,P,NOT,2017,1
ND,M,37.0,TÉC,TA,SUB,P,NOT,2017,1
ND,M,37.0,TÉC,TA,SUB,P,NOT,2017,1
ND,M,37.0,TÉC,TA,SUB,P,NOT,2017,1
ND,M,42.0,TÉC,TA,SUB,P,NOT,2017,0
ND,M,47.0,TÉC,TI,SUB,P,VES,2017,0
ND,M,47.0,TÉC,TA,SUB,P,NOT,2017,1
ND,M,52.0,FIC,ADS,CON,P,INT,2017,1
ND,M,57.0,TÉC,GT,SUB,P,VES,2017,1
"0,5",F,22.0,TÉC,PES,SUB,P,VES,2017,1
"0,5",M,27.0,FIC,CTUCAL,CON,P,INT,2017,1
"0,5",M,27.0,TÉC,PES,SUB,P,VES,2017,0
ND,F,27.0,FIC,CTUCAL,CON,P,INT,2017,1
ND,M,37.0,FIC,CTUCAL,CON,P,INT,2017,1
ND,M,37.0,FIC,CTUCAL,CON,P,INT,2017,1
ND,M,52.0,FIC,CTUCAL,CON,P,INT,2017,1
"0,5",F,17.0,TÉC,PES,SUB,P,VES,2017,0
"0,5",F,17.0,TÉC,SJ,SUB,P,NOT,2017,0
"0,5",F,17.0,TÉC,SJ,SUB,P,VES,2017,1
"0,5",F,22.0,TÉC,GT,SUB,P,VES,2017,0
"0,5",F,22.0,TÉC,PES,SUB,P,VES,2017,0
"0,5",F,22.0,TÉC,PES,SUB,P,VES,2017,0
"0,5",F,22.0,TÉC,SJ,SUB,P,NOT,2017,0
"0,5",F,22.0,TÉC,SJ,SUB,P,VES,2017,0
"0,5",F,22.0,TÉC,SJ,SUB,P,VES,2017,0
"0,5",F,22.0,TÉC,SJ,SUB,P,VES,2017,0
"0,5",F,22.0,TÉC,SJ,SUB,P,VES,2017,0
"0,5",F,22.0,TÉC,SJ,SUB,P,VES,2017,1
"0,5",F,22.0,TÉC,SJ,SUB,P,VES,2017,1
"0,5",F,22.0,TÉC,SJ,SUB,P,VES,2017,1
"0,5",F,27.0,TÉC,PES,SUB,P,VES,2017,0
"0,5",F,27.0,TÉC,PES,SUB,P,VES,2017,0
"0,5",F,27.0,TÉC,PES,SUB,P,VES,2017,0
"0,5",F,27.0,TÉC,PES,SUB,P,VES,2017,0
"0,5",F,27.0,TÉC,SJ,SUB,P,NOT,2017,0
"0,5",F,27.0,TÉC,SJ,SUB,P,VES,2017,0
"0,5",F,37.0,TÉC,SJ,SUB,P,VES,2017,1
"0,5",F,42.0,TÉC,SJ,SUB,P,VES,2017,0
"0,5",F,47.0,TÉC,PES,SUB,P,VES,2017,0
"0,5",F,52.0,TÉC,PES,SUB,P,VES,2017,0
"0,5",F,52.0,TÉC,TA,SUB,P,NOT,2017,0
"0,5",M,17.0,TÉC,GT,SUB,P,VES,2017,0
"0,5",M,22.0,TÉC,GT,SUB,P,VES,2017,0
"0,5",M,22.0,TÉC,GT,SUB,P,VES,2017,0
"0,5",M,22.0,TÉC,PES,SUB,P,VES,2017,0
"0,5",M,22.0,TÉC,SJ,SUB,P,VES,2017,0
"0,5",M,22.0,TÉC,SJ,SUB,P,VES,2017,0
"0,5",M,22.0,TÉC,SJ,SUB,P,NOT,2017,0
"0,5",M,22.0,TÉC,SJ,SUB,P,NOT,2017,1
"0,5",M,27.0,TÉC,PES,SUB,P,VES,2017,0
"0,5",M,27.0,TÉC,SJ,SUB,P,VES,2017,1
"0,5",M,27.0,TÉC,TA,SUB,P,NOT,2017,0
"0,5",M,32.0,FIC,DES,CON,P,NOT,2017,1
"0,5",M,32.0,TÉC,GT,SUB,P,VES,2017,0
"0,5",M,32.0,TÉC,SJ,SUB,P,NOT,2017,1
"0,5",M,37.0,FIC,DES,CON,P,VES,2017,0
"0,5",M,37.0,TÉC,PES,SUB,P,VES,2017,0
"0,5",M,37.0,TÉC,SJ,SUB,P,VES,2017,0
"0,5",M,37.0,TÉC,SJ,SUB,P,NOT,2017,1
"0,5",M,42.0,TÉC,PES,SUB,P,VES,2017,0
"0,5",M,47.0,TÉC,TI,SUB,P,VES,2017,0
"0,5",M,52.0,TÉC,GT,SUB,P,VES,2017,0
"0,5",M,52.0,TÉC,TI,SUB,P,VES,2017,0
1,F,17.0,TÉC,SJ,SUB,P,VES,2017,0
1,F,32.0,TÉC,TI,SUB,P,VES,2017,0
